[2026-09-08T12:21:54.664899] search_google: Query: python requests library, Results: 0
[2026-09-08T12:21:58.070781] fetch_url: URL: https://httpbin.org/html, Status: 200
[2026-09-08T12:22:00.889425] fetch_url_error: URL: https://docs.python.org/latest/contents.html, Error: 404 Client Error: Not Found for url: https://docs.python.org/latest/contents.html
[2026-09-08T12:22:03.443198] fetch_url: URL: https://docs.python.org/3.12/contents.html, Status: 200
[2026-09-08T12:22:05.971979] search_local: Query: PEP 695, Results: 1
[2026-09-08T12:22:10.761724] execute_command: Cmd: curl -sI https://example.com, Return: 0
[2026-09-08T12:24:44.679699] search_google: Query: realistic paper texture rendering techniques webgl three.js, Results: 0
[2026-09-08T12:24:47.260612] fetch_url: URL: https://threejs.org/docs/index.html#manual/en/introduction/Creating-a-scene, Status: 200
[2026-09-08T12:24:50.751535] fetch_url_error: URL: https://developer.mozilla.org/en-US/docs/Web/API/Canvas_API/Tutorial/Drawing_images, Error: 404 Client Error: Not Found for url: https://developer.mozilla.org/en-US/docs/Web/API/Canvas_API/Tutorial/Drawing_images
[2026-09-08T12:24:53.530213] fetch_url: URL: https://threejs.org/examples/#webgl_materials_texture_filters, Status: 200
[2026-09-08T12:24:56.071451] fetch_url: URL: https://threejs.org/examples/#webgl_materials_texture_partialupdate, Status: 200
[2026-09-08T12:24:59.512274] fetch_url: URL: https://raw.githubusercontent.com/mrdoob/three.js/master/examples/webgl_materials_texture_filters.html, Status: 200
[2026-09-08T12:25:02.913004] fetch_url: URL: https://raw.githubusercontent.com/mrdoob/three.js/master/examples/webgl_materials_texture_partialupdate.html, Status: 200
[2026-09-08T12:25:06.864092] fetch_url: URL: https://developer.mozilla.org/en-US/docs/Web/API/WebGL_API/Using_textures_in_WebGL, Status: 200
[2026-09-08T12:25:09.695257] search_local: Query: paper texture rendering normal map bump map WebGL three.js, Results: 0
[2026-09-08T12:25:12.920093] fetch_url: URL: https://threejs.org/docs/#api/en/materials/MeshStandardMaterial, Status: 200
[2026-09-08T12:32:33.848281] search_google: Query: Android Jetpack Compose realistic paper texture rendering performance 2024 2025, Results: 0
[2026-09-08T12:32:35.916132] search_google: Query: Android Canvas Bitmap createBitmap noise texture paper grain rendering, Results: 0
[2026-09-08T12:32:40.550931] fetch_url: URL: https://developer.android.com/guide/topics/graphics/hardware-accel, Status: 200
[2026-09-08T12:32:45.480659] fetch_url: URL: https://developer.android.com/reference/android/graphics/Canvas, Status: 200
[2026-09-08T12:32:50.945691] fetch_url: URL: https://developer.android.com/reference/android/graphics/Bitmap, Status: 200
[2026-09-08T12:32:55.672717] fetch_url: URL: https://developer.android.com/topic/performance/graphics, Status: 200
[2026-09-08T12:32:58.417403] search_google: Query: Android RenderScript Bitmap noise texture paper grain performance, Results: 0
[2026-09-08T12:33:03.180578] fetch_url: URL: https://developer.android.com/develop/ui/views/layout/declaring-layout, Status: 200
[2026-09-08T12:33:07.676736] fetch_url_error: URL: https://developer.android.com/develop/ui/views/graphics/bitmaps, Error: 404 Client Error: Not Found for url: https://developer.android.com/develop/ui/views/graphics/bitmaps
[2026-09-08T12:33:13.507204] fetch_url: URL: https://developer.android.com/develop/ui/views/graphics, Status: 200
[2026-09-08T12:33:18.536350] fetch_url: URL: https://developer.android.com/reference/android/graphics/PorterDuffXfermode, Status: 200
[2026-09-08T12:55:45.700747] fetch_url: URL: https://developer.android.com/reference/android/graphics/Bitmap, Status: 200
[2026-09-08T12:55:45.950736] fetch_url_error: URL: https://en.wikipedia.org/wiki/Image_noise, Error: 403 Client Error: Too Many Reqs (1862a4b) for url: https://en.wikipedia.org/wiki/Image_noise
[2026-09-08T12:55:46.910199] fetch_url_error: URL: https://www.clarkvision.com/imagedetail/noise_summary/, Error: 404 Client Error: Not Found for url: https://www.clarkvision.com/imagedetail/noise_summary/
[2026-09-08T12:55:47.195301] search_google: Query: realistic camera sensor noise characteristics shot noise read noise fixed pattern noise android bitmap --limit 5, Results: 0
[2026-09-08T12:55:50.014925] search_google: Query: camera sensor noise model poisson gaussian distribution android implementation --limit 5, Results: 0
[2026-09-08T12:55:52.678406] search_google: Query: photographic film grain structure silver halide crystals realistic rendering --limit 5, Results: 0
[2026-09-08T12:55:55.381732] search_google: Query: Android Bitmap getPixel setPixel performance optimization bulk pixel operations --limit 5, Results: 0
[2026-09-08T12:55:57.951505] search_google: Query: paper texture generation procedural noise perlin simplex android canvas --limit 5, Results: 0
[2026-09-08T12:56:00.755540] search_local: Query: camera sensor noise poisson gaussian, Results: 0
[2026-09-08T12:56:03.704477] search_local: Query: Bitmap getPixels setPixels ARGB_8888, Results: 0
